ID,JJ,n,age,adjhlg,adjhlgSE,method,sex,yr
1QR,12,4,8,23.007552516376553,5.131575620024049,mixed,female,1993
1QR,114,4,8,23.599192811647182,4.293223279324563,mixed,female,1993
1T,114,4,5,25.310567364172933,4.227735928838618,mixed,female,1993
1T,12,4,5,25.0792095099737,5.036136877304739,mixed,female,1993
1V,12,3,3,18.021355595198838,5.140703239933806,mixed,female,1993
1V,114,3,3,19.614807140693838,4.28007752044779,mixed,female,1993
20M,12,5,11,27.908830748122398,5.12116777732836,mixed,female,1993
20M,114,5,11,27.62552975304687,4.305601422274829,mixed,female,1993
20R,114,4,7,25.67744115632179,4.226310561264957,mixed,female,1993
20R,12,4,7,26.222698860302206,5.0619287559743125,mixed,female,1993
20U,114,5,4,25.72861492692074,4.195853023138527,mixed,female,1993
20U,12,5,4,25.129080944678027,5.011167866277532,mixed,female,1993
21I,114,5,15,29.00805224775367,4.080724079432918,mixed,female,1993
21I,12,5,15,29.15825576368492,4.897496385274683,mixed,female,1993
21W,12,2,3,19.84298892209427,5.084607676265923,mixed,female,1993
21W,114,2,3,21.1190921606863,4.239724348077816,mixed,female,1993
22Q,114,2,8,26.45006710668472,4.301913333884373,mixed,female,1993
22Q,12,2,8,26.125213281024934,5.149245073528903,mixed,female,1993
23U,12,4,4,20.414405034879174,5.0131474960684645,mixed,female,1993
23U,114,4,4,21.605050685599586,4.216933988925636,mixed,female,1993
25R,12,2,7,27.32466407728525,5.051765511636831,mixed,female,1993
25R,114,2,7,27.267199758558647,4.2419490074233135,mixed,female,1993
25S,12,4,6,27.088079345839432,5.006682563199242,mixed,female,1993
25S,114,4,6,27.12918453142465,4.190900240419389,mixed,female,1993
25V,114,2,3,24.004081377679967,4.290808972229527,mixed,female,1993
25V,12,2,3,23.321353226278795,5.121322072929605,mixed,female,1993
26R,12,3,7,25.35677741691956,4.888459715206268,mixed,female,1993
26R,114,3,7,25.651684859740755,4.083227206511771,mixed,female,1993
26S,12,3,6,23.080498567561072,4.99249680435753,mixed,female,1993
26S,114,3,6,23.563202276905105,4.164684780736602,mixed,female,1993
26T,114,3,5,27.68177841909599,4.122482753880199,mixed,female,1993
26T,12,3,5,27.349120682444475,4.923028063058513,mixed,female,1993
27S,114,5,6,24.155458717980075,4.104184049349695,mixed,female,1993
27S,12,5,6,23.737062273079502,4.876065315950932,mixed,female,1993
27U,12,3,4,25.679530231570112,5.1681700036427785,mixed,female,1993
27U,114,3,4,26.664974571545926,4.318115635366587,mixed,female,1993
28T,114,3,5,25.315273056151693,4.247778583815628,mixed,female,1993
28T,12,3,5,24.827360688063614,5.0619314821510315,mixed,female,1993
28U,114,4,4,22.60088268016529,4.18295315258631,mixed,female,1993
28U,12,4,4,22.14580911193788,4.992298506979627,mixed,female,1993
28W,114,5,2,15.926394954124719,4.235430066553712,mixed,female,1993
28W,12,5,2,13.25516179045,5.053388964198623,mixed,female,1993
29S,12,3,6,24.05716623204232,4.986482916771691,mixed,female,1993
29S,114,3,6,24.487942612052688,4.18057566150814,mixed,female,1993
29U,114,3,4,26.503885284785728,4.20366689638538,mixed,female,1993
29U,12,3,4,26.516697253180375,4.991120458726087,mixed,female,1993
29V,114,3,3,18.97095429077069,4.205346847415864,mixed,female,1993
29V,12,3,3,17.27933504011174,5.045154553385696,mixed,female,1993
2N,12,2,10,18.401421345145238,4.860977927037471,mixed,female,1993
2N,114,2,10,19.77880742497018,4.105063496073488,mixed,female,1993
2Q,12,2,9,18.241151745751402,5.065116396044405,mixed,female,1993
2Q,114,2,9,19.43069145858593,4.244126256649617,mixed,female,1993
2S,114,4,7,25.08772461447586,4.430633690319225,mixed,female,1993
2S,12,4,7,24.854702131761623,5.2678746723045755,mixed,female,1993
2U,114,4,4,25.238479473659282,4.165545638832769,mixed,female,1993
2U,12,4,4,23.992161562074852,4.969698130844855,mixed,female,1993
2WX,114,3,2,15.1878060852355,4.300650200332849,mixed,female,1993
2WX,12,3,2,12.854279839738886,5.144034978644548,mixed,female,1993
30V,12,4,3,15.27439885313656,5.143824372545317,mixed,female,1993
30V,114,4,3,17.020794272428937,4.273827264486943,mixed,female,1993
31T,114,3,5,22.944204538281426,4.15854803076092,mixed,female,1993
31T,12,3,5,22.148724118615988,4.95442193581739,mixed,female,1993
31U,12,4,4,27.621481360865083,5.1348299254121645,mixed,female,1993
31U,114,4,4,27.71055391933681,4.279939855111875,mixed,female,1993
32W,114,3,2,13.91965585497415,4.172525590719493,mixed,female,1993
32W,12,3,2,11.329807746390808,4.997057503385229,mixed,female,1993
34U,114,4,4,22.482578877076545,4.224236589131076,mixed,female,1993
34U,12,4,4,21.831052292651506,5.030610797595184,mixed,female,1993
